orbit,bx,phi,eta,pt,charge
2700706,3519,-2.29074,0.3915,21.5,1
2705517,3547,-1.13446,-0.641625,3.5,-1
2706975,3468,1.37445,-0.685125,34.5,1
2707595,3488,1.54898,0,81,-1
2709264,3551,1.67988,-0.358875,5,1
2709264,3552,1.7126,-0.511125,8,1
2709264,3553,-2.2362,-0.424125,5.5,-1
2709264,3554,-2.2362,-0.424125,5.5,-1
2709264,3555,-2.2362,-0.424125,5.5,-1
2712893,3491,-2.53073,0.1305,3.5,1
2715222,3515,-1.94168,0.76125,3.5,1
2715829,3536,1.75624,-0.685125,7.5,1
2716602,3493,1.55989,0,5.5,1
2719137,3492,0.829031,-0.511125,3.5,-1
2721609,3519,1.34172,0,3.5,-1
2721759,3535,-2.31256,0,3.5,1
2724106,3500,-0.599957,-0.685125,3.5,1
2725211,3491,1.61443,-0.358875,3.5,1
2725743,3520,-2.3671,-0.511125,4,-1
2728470,3541,-1.63625,0,6.5,1
2733462,3476,1.14537,0.80475,4.5,1
2734030,3498,1.19991,-0.45675,14,1
2736525,3532,1.03629,0,4.5,1
2736525,3533,-1.9635,0,2.5,-1
2739525,3467,1.16719,-0.685125,3.5,-1
2743063,3455,-3.13068,0.358875,3.5,1
2743063,3457,-0.64359,0,3.5,-1
2744901,3501,2.15984,0.685125,5,-1
2745247,3547,1.69079,-0.685125,22,-1
2746455,3518,0.51269,0.23925,3.5,-1
2748873,3460,1.55989,0.76125,3,1
2748873,3461,-2.3671,-0.685125,3.5,-1
2750085,3530,1.16719,-0.424125,3.5,-1
2755082,3449,1.46171,-0.511125,4.5,1
2755082,3449,1.38535,0,4,1
2759003,3464,1.22173,-0.80475,3.5,-1
2761781,3511,1.65806,0,5.5,1
2761781,3512,1.7126,0,4,1
2763136,3550,1.03629,0.80475,3.5,1
2763136,3552,-2.50891,0.358875,4,-1
2766956,3446,-1.55989,0.23925,3.5,1
2766956,3446,-1.60352,0.424125,3.5,1
2771421,3529,1.95259,-0.424125,3.5,1
2771785,3446,1.59261,0.80475,3.5,-1
2772064,3510,-1.11265,-0.76125,139.5,-1
2772510,3478,1.03629,0,3.5,-1
2772510,3481,-0.469057,-0.435,3,1
2775276,3504,0.294524,0,4,-1
2777113,3517,-0.0763581,-0.76125,24.5,1
2777296,3459,1.18901,-0.36975,31.5,-1
2777296,3461,-2.95615,0.163125,8.5,1
2777369,3521,-1.76715,-0.76125,11,-1
2777945,3498,1.10174,0,3,-1
2778263,3512,1.66897,-0.76125,32.5,-1
2779561,3536,1.03629,0.358875,3.5,-1
2781212,3501,1.69079,-0.685125,6,1
2783031,3477,1.81078,-0.685125,4.5,1
2783466,3526,1.34172,-0.511125,42,-1
2788882,3458,1.59261,0,4,-1
2791219,3446,1.9744,-0.532875,6.5,-1
2791219,3448,-1.09083,0.80475,6,1
2791525,3492,1.21082,-0.80475,3.5,1
2791525,3493,-2.50891,-0.511125,4.5,-1
2796529,3484,2.01804,0.511125,5.5,-1
2798481,3518,2.12712,-0.358875,3.5,1
2801030,3460,1.86532,-0.80475,3.5,1
2804506,3533,1.39626,0.685125,4.5,-1
2804687,3552,-2.09439,0.380625,3.5,-1
2806844,3447,1.15628,-0.358875,3.5,1
2812575,3478,-1.76715,-0.685125,6,-1
2815947,3528,-1.95259,0.685125,3.5,1
2820657,3542,1.7017,0,5,-1
2820657,3544,-1.54898,0.424125,6.5,1
2839548,3460,2.498,0.685125,5.5,1
2840438,3529,1.00356,-0.685125,3.5,-1
2840877,3549,1.46171,0.358875,16.5,1
2846182,3470,1.73442,0.685125,3.5,1
2846910,3450,3.08705,-0.511125,3,1
2846995,3505,1.75624,-0.511125,16.5,1
2848295,3549,-1.5708,0,3.5,1
2850142,3526,-1.95259,0,60,1
2851251,3505,1.65806,0.685125,4,1
2852478,3505,1.94168,-0.206625,5,-1
2852478,3506,1.90895,0,7,-1
2853805,3463,-2.1053,-0.685125,6.5,-1
2854953,3452,1.53807,0.3915,3.5,-1
2854953,3453,1.53807,0.511125,5,-1
2856123,3552,1.60352,0.685125,5.5,1
2856425,3499,1.37445,-0.3915,85.5,1
2856425,3501,-1.48353,-0.6525,67.5,-1
2858386,3481,1.09083,-0.80475,3.5,-1
2861426,3525,-1.55989,-0.3915,29.5,-1
2863246,3466,2.07258,0.424125,8.5,-1
2863910,3528,-0.970839,0.489375,4.5,-1
2866638,3551,-1.46171,-0.685125,4.5,-1
2868206,3540,-2.17075,-0.467625,6.5,1
2869928,3539,1.54898,-0.315375,3.5,1
2871164,3533,-2.33438,0,15,-1
2874741,3532,0.141808,-0.511125,3,1
2874741,3533,0.141808,-0.511125,3.5,1
2877977,3483,1.46171,-0.80475,69.5,1
2878392,3502,2.60709,0.511125,3.5,1
2878392,3503,-1.07992,0,4,-1
2878842,3475,1.00356,-0.80475,3.5,-1
2878859,3522,1.39626,-0.315375,3.5,-1
2886108,3533,1.49444,-0.80475,76.5,-1
2886489,3483,1.69079,-0.685125,8.5,-1
2890457,3520,2.02895,-0.36975,3.5,1
2893687,3533,-1.55989,-0.685125,4,-1
2896418,3456,-2.01804,0,6,1
2898318,3459,1.47262,0.685125,5.5,-1
2898318,3461,-1.9744,0.76125,5,1
2903769,3524,1.31991,0,3.5,-1
2903769,3525,-0.436333,0.511125,4,1
2903769,3525,-0.567232,0.358875,3.5,1
2904186,3474,2.02895,0.315375,5.5,-1
2904846,3499,1.7017,-0.358875,7.5,1
2912876,3473,-1.47262,0.685125,6.5,-1
2915311,3521,1.47262,-0.80475,111,-1
2922304,3488,2.17075,-0.685125,3.5,1
2926384,3529,0.949023,-0.467625,17.5,-1
2931506,3497,1.73442,-0.467625,4,1
2931506,3499,-1.40717,0,4,-1
2933329,3544,2.11621,-0.511125,2.5,1
2934157,3539,1.49444,-0.467625,13,1
2934912,3476,1.47262,-0.45675,3.5,-1
2939709,3505,1.75624,-0.685125,4.5,1
2940886,3463,1.60352,0.467625,25,1
2940886,3464,1.21082,-0.685125,4,-1
2942640,3546,1.7126,-0.261,3.5,-1
2943484,3471,1.54898,-0.184875,6,-1
2949143,3524,1.7126,-0.80475,3.5,1
2952084,3495,2.26893,0.76125,50.5,-1
2952084,3497,-1.35263,0.424125,22,1
2953168,3539,-1.61443,0.424125,4,-1
2953877,3479,1.76715,0,3.5,1
2954351,3508,0.665407,-0.511125,3,-1
2960318,3533,1.15628,0.424125,3.5,-1
2963163,3480,-1.88714,-0.358875,4.5,1
2965903,3492,1.4399,-0.80475,22,1
2968569,3464,1.4399,-0.358875,5,-1
2968569,3466,-2.15985,-0.424125,3,1
2968784,3538,0.90539,-0.685125,72,1
2974647,3471,1.94168,-0.80475,3.5,1
2975681,3535,1.64715,-0.10875,7.5,1
2975681,3536,1.63625,0,8,-1
2976342,3544,1.4508,0,5,-1
2976342,3545,-0.458149,-0.685125,4.5,1
2982244,3527,1.9744,0.358875,7.5,1
2982244,3528,1.98531,0.511125,16.5,1
2982244,3529,-1.47262,0.467625,21,-1
2984472,3457,-2.20348,0.76125,19,1
2985830,3504,0.77449,-0.6525,5,-1
2985830,3506,-1.81078,0,3.5,1
2988917,3498,1.0472,0.467625,3.5,-1
2989419,3543,-1.54898,-0.80475,3.5,-1
2990576,3472,1.65806,-0.358875,5,1
2990576,3473,1.69079,-0.511125,13,1
2990576,3474,-3.13068,0,20.5,1
2991154,3544,1.5708,-0.76125,3.5,1
2998749,3521,0.785398,-0.685125,7.5,1
2999179,3490,2.74889,-0.80475,8,-1
2999549,3447,-0.501782,0,3.5,1
3003506,3500,0.981748,0.467625,13,1
3003506,3502,-2.22529,0,10,-1
3003506,3502,-2.57436,0.80475,3.5,-1
3009166,3543,-1.42899,-0.80475,3.5,1
3010928,3475,1.5817,-0.80475,21,-1
3013159,3531,1.38535,-0.793875,3.5,-1
3022903,3535,1.8326,0.511125,9,-1
3024443,3458,1.81078,-0.054375,4,1
3025824,3510,1.309,0.511125,7,1
3029791,3451,-0.632682,0,3.5,-1
3030864,3541,2.72708,0,3.5,1
3030864,3544,2.71617,-0.06525,3,1
3030864,3546,-0.883573,0,6,-1
3034327,3505,-1.67988,0.206625,10.5,-1
3034442,3505,1.60352,-0.80475,3.5,1
3035683,3521,1.7126,0.511125,3,1
3037306,3464,-2.30165,0,8.5,-1
3046920,3552,1.79987,0,3,1
3046920,3553,-1.05811,0.80475,3.5,-1
3046920,3554,-1.05811,0.80475,3.5,-1
3046920,3555,-1.05811,0.80475,3.5,-1
3047371,3456,2.07258,-0.80475,3.5,1
3052326,3523,2.12712,0,4,1
3058178,3498,-0.90539,-0.10875,3,1
3058178,3498,-1.0472,-0.10875,3.5,1
3059436,3520,1.60352,0.358875,42,-1
3067077,3457,-1.90895,-0.424125,3.5,1
3068748,3463,-0.556324,0,2.5,-1
3070425,3446,1.16719,-0.685125,4,-1
3072185,3542,0.458149,0.80475,13,-1
3072352,3499,1.40717,-0.228375,4.5,1
3076173,3465,0.556324,0.467625,4.5,1
3082603,3512,1.35263,0,3.5,-1
3082749,3545,1.14537,-0.511125,3,-1
3084973,3484,-1.12356,-0.641625,139.5,1
3086499,3533,2.12712,-0.435,14.5,-1
3086499,3534,-1.12356,0.315375,13.5,1
3087268,3519,1.12356,-0.6525,5,-1
3087268,3521,-1.76715,0,3,1
3087342,3461,1.7017,-0.467625,6,1
3087342,3463,-1.69079,0.10875,3.5,-1
3087987,3456,-1.82169,0,12,-1
3088371,3492,0.458149,0.467625,6,-1
3088923,3524,-1.02538,-0.641625,4,1
3090976,3465,2.01804,-0.424125,3.5,1
3091107,3519,-0.447241,0.45675,3,1
3093468,3498,1.15628,0,23,1
3093468,3500,-2.37801,0.511125,50.5,-1
3093605,3495,2.0944,0.80475,16,1
3097425,3531,-1.8326,0,9,-1
3098508,3511,1.38535,-0.80475,3.5,-1
3099245,3448,2.31256,0.685125,4,-1
3099245,3450,-0.06545,0.424125,3.5,1
3100310,3488,-1.50535,-0.80475,3.5,1
3105226,3504,1.74533,-0.685125,4.5,1
3105226,3505,1.65806,0.511125,3.5,1
3105226,3505,1.74533,-0.23925,6.5,-1
3105226,3506,-1.18901,-0.80475,3.5,1
3105226,3506,-1.49444,0.358875,3.5,1
3105315,3462,1.5817,0.511125,4.5,-1
3105315,3464,-1.33081,0.467625,4.5,1
3105756,3521,2.25802,0,18,-1
3105756,3523,-0.894481,0.489375,25.5,1
3106449,3464,-2.05076,0,3.5,1
3106873,3508,0.949023,-0.685125,4,1
3108052,3548,1.67988,0.80475,6.5,-1
3113423,3529,1.0472,-0.80475,3.5,-1
3113620,3513,-2.06167,0,3.5,-1
3119007,3539,1.52716,-0.206625,3,1
3123787,3513,0.970839,-0.685125,5.5,1
